Using  cpu
IQN(
  (head): Linear(in_features=4, out_features=512, bias=True)
  (cos_embedding): Linear(in_features=64, out_features=512, bias=True)
  (ff_1): Linear(in_features=512, out_features=512, bias=True)
  (ff_2): Linear(in_features=512, out_features=2, bias=True)
)

Episode 177	Frame 4120 	Average100 Score: 22.82
Episode 178	Frame 4130 	Average100 Score: 22.63
Episode 179	Frame 4200 	Average100 Score: 23.09
Episode 180	Frame 4256 	Average100 Score: 23.48
Episode 181	Frame 4300 	Average100 Score: 23.43
Episode 182	Frame 4312 	Average100 Score: 23.43
Episode 183	Frame 4323 	Average100 Score: 23.05
Episode 184	Frame 4335 	Average100 Score: 22.98
Episode 185	Frame 4349 	Average100 Score: 22.92
Episode 186	Frame 4400 	Average100 Score: 23.16
Episode 187	Frame 4415 	Average100 Score: 22.81
Episode 188	Frame 4430 	Average100 Score: 22.81
Episode 189	Frame 4441 	Average100 Score: 22.65
Episode 190	Frame 4452 	Average100 Score: 22.31
Episode 191	Frame 4477 	Average100 Score: 22.43
Episode 192	Frame 4493 	Average100 Score: 22.38
Episode 193	Frame 4537 	Average100 Score: 22.66
Episode 194	Frame 4547 	Average100 Score: 22.48
Episode 195	Frame 4565 	Average100 Score: 22.44
Episode 196	Frame 4576 	Average100 Score: 22.09
Episode 197	Frame 4591 	Average100 Score: 22.03
Episode 198	Frame 4606 	Average100 Score: 22.02
Episode 199	Frame 4628 	Average100 Score: 21.94
Episode 200	Frame 4637 	Average100 Score: 21.80
Episode 200	Frame 4637	Average100 Score: 21.80

Episode 201	Frame 4675 	Average100 Score: 21.94
Episode 202	Frame 4687 	Average100 Score: 21.76
Episode 203	Frame 4702 	Average100 Score: 21.68
Episode 204	Frame 4733 	Average100 Score: 21.65
Episode 205	Frame 4748 	Average100 Score: 21.67
Episode 206	Frame 4765 	Average100 Score: 21.46
Episode 207	Frame 4816 	Average100 Score: 21.85
Episode 208	Frame 4852 	Average100 Score: 22.03
Episode 209	Frame 4879 	Average100 Score: 22.13
Episode 210	Frame 4900 	Average100 Score: 22.16
Episode 211	Frame 4944 	Average100 Score: 22.47
Episode 212	Frame 4963 	Average100 Score: 22.37
Episode 213	Frame 5016 	Average100 Score: 22.41
Episode 214	Frame 5042 	Average100 Score: 22.56
Episode 215	Frame 5065 	Average100 Score: 22.65
Episode 216	Frame 5109 	Average100 Score: 22.95
Episode 217	Frame 5156 	Average100 Score: 23.20
Episode 218	Frame 5204 	Average100 Score: 23.41
Episode 219	Frame 5265 	Average100 Score: 23.90
Episode 220	Frame 5318 	Average100 Score: 24.32
Episode 221	Frame 5364 	Average100 Score: 24.66
Episode 222	Frame 5374 	Average100 Score: 24.59
Episode 223	Frame 5416 	Average100 Score: 24.86
Episode 224	Frame 5449 	Average100 Score: 25.06
Episode 225	Frame 5468 	Average100 Score: 24.91
Episode 226	Frame 5482 	Average100 Score: 24.89
Episode 227	Frame 5508 	Average100 Score: 24.74
Episode 228	Frame 5530 	Average100 Score: 24.82
Episode 229	Frame 5549 	Average100 Score: 24.55
Episode 230	Frame 5564 	Average100 Score: 24.58
Episode 231	Frame 5584 	Average100 Score: 24.65
Episode 232	Frame 5603 	Average100 Score: 24.70
Episode 233	Frame 5619 	Average100 Score: 24.77
Episode 234	Frame 5646 	Average100 Score: 24.67
Episode 235	Frame 5665 	Average100 Score: 24.76
Episode 236	Frame 5708 	Average100 Score: 24.47
Episode 237	Frame 5741 	Average100 Score: 24.38
Episode 238	Frame 5752 	Average100 Score: 24.34
Episode 239	Frame 5764 	Average100 Score: 24.32
Episode 240	Frame 5781 	Average100 Score: 24.34
Episode 241	Frame 5795 	Average100 Score: 24.17
Episode 242	Frame 5832 	Average100 Score: 24.35
Episode 243	Frame 5851 	Average100 Score: 24.27
Episode 244	Frame 5887 	Average100 Score: 24.48
Episode 245	Frame 5898 	Average100 Score: 24.44
Episode 246	Frame 5913 	Average100 Score: 24.39
Episode 247	Frame 5930 	Average100 Score: 24.31
Episode 248	Frame 5946 	Average100 Score: 24.30
Episode 249	Frame 5960 	Average100 Score: 24.19
Episode 250	Frame 5971 	Average100 Score: 24.02
Episode 251	Frame 6000 	Average100 Score: 24.17
Episode 252	Frame 6009 	Average100 Score: 23.62
Episode 253	Frame 6019 	Average100 Score: 23.57
Episode 254	Frame 6035 	Average100 Score: 23.48
Episode 255	Frame 6052 	Average100 Score: 23.47
Episode 256	Frame 6071 	Average100 Score: 23.46
Episode 257	Frame 6083 	Average100 Score: 23.39
Episode 258	Frame 6099 	Average100 Score: 23.35
Episode 259	Frame 6132 	Average100 Score: 23.56
Episode 260	Frame 6184 	Average100 Score: 23.96
Episode 261	Frame 6200 	Average100 Score: 23.76
Episode 262	Frame 6215 	Average100 Score: 23.66
Episode 263	Frame 6237 	Average100 Score: 23.41
Episode 264	Frame 6249 	Average100 Score: 23.39
Episode 265	Frame 6292 	Average100 Score: 23.63
Episode 266	Frame 6305 	Average100 Score: 23.60
Episode 267	Frame 6321 	Average100 Score: 23.62
Episode 268	Frame 6343 	Average100 Score: 23.67
Episode 269	Frame 6353 	Average100 Score: 23.59
Episode 270	Frame 6367 	Average100 Score: 23.53
Episode 271	Frame 6404 	Average100 Score: 23.80
Episode 272	Frame 6417 	Average100 Score: 23.75
Episode 273	Frame 6431 	Average100 Score: 23.57
Episode 274	Frame 6458 	Average100 Score: 23.75
Episode 275	Frame 6472 	Average100 Score: 23.78
Episode 276	Frame 6486 	Average100 Score: 23.76
Episode 277	Frame 6508 	Average100 Score: 23.88
Episode 278	Frame 6532 	Average100 Score: 24.02
Episode 279	Frame 6557 	Average100 Score: 23.57
Episode 280	Frame 6572 	Average100 Score: 23.16
Episode 281	Frame 6588 	Average100 Score: 22.88
Episode 282	Frame 6612 	Average100 Score: 23.00
Episode 283	Frame 6631 	Average100 Score: 23.08
Episode 284	Frame 6655 	Average100 Score: 23.20
Episode 285	Frame 6666 	Average100 Score: 23.17
Episode 286	Frame 6681 	Average100 Score: 22.81
Episode 287	Frame 6698 	Average100 Score: 22.83
Episode 288	Frame 6709 	Average100 Score: 22.79
Episode 289	Frame 6746 	Average100 Score: 23.05
Episode 290	Frame 6761 	Average100 Score: 23.09
Episode 291	Frame 6788 	Average100 Score: 23.11
Episode 292	Frame 6805 	Average100 Score: 23.12
Episode 293	Frame 6827 	Average100 Score: 22.90
Episode 294	Frame 6839 	Average100 Score: 22.92
Episode 295	Frame 6850 	Average100 Score: 22.85
Episode 296	Frame 6865 	Average100 Score: 22.89
Episode 297	Frame 6886 	Average100 Score: 22.95
Episode 298	Frame 6905 	Average100 Score: 22.99
Episode 299	Frame 6930 	Average100 Score: 23.02
Episode 300	Frame 6968 	Average100 Score: 23.31
Episode 300	Frame 6968	Average100 Score: 23.31

Episode 301	Frame 6988 	Average100 Score: 23.13
Episode 302	Frame 7006 	Average100 Score: 23.19
Episode 303	Frame 7037 	Average100 Score: 23.35
Episode 304	Frame 7053 	Average100 Score: 23.20
Episode 305	Frame 7111 	Average100 Score: 23.63
Episode 306	Frame 7125 	Average100 Score: 23.60
Episode 307	Frame 7146 	Average100 Score: 23.30
Episode 308	Frame 7161 	Average100 Score: 23.09
Episode 309	Frame 7178 	Average100 Score: 22.99
Episode 310	Frame 7199 	Average100 Score: 22.99
Episode 311	Frame 7221 	Average100 Score: 22.77
Episode 312	Frame 7235 	Average100 Score: 22.72
Episode 313	Frame 7271 	Average100 Score: 22.55
Episode 314	Frame 7284 	Average100 Score: 22.42
Episode 315	Frame 7320 	Average100 Score: 22.55
Episode 316	Frame 7395 	Average100 Score: 22.86
Episode 317	Frame 7406 	Average100 Score: 22.50
Episode 318	Frame 7420 	Average100 Score: 22.16
Episode 319	Frame 7437 	Average100 Score: 21.72
Episode 320	Frame 7471 	Average100 Score: 21.53
Episode 321	Frame 7533 	Average100 Score: 21.69
Episode 322	Frame 7543 	Average100 Score: 21.69
Episode 323	Frame 7565 	Average100 Score: 21.49
Episode 324	Frame 7582 	Average100 Score: 21.33
Episode 325	Frame 7600 	Average100 Score: 21.32
Episode 326	Frame 7637 	Average100 Score: 21.55
Episode 327	Frame 7657 	Average100 Score: 21.49
Episode 328	Frame 7675 	Average100 Score: 21.45
Episode 329	Frame 7690 	Average100 Score: 21.41
Episode 330	Frame 7707 	Average100 Score: 21.43
Episode 331	Frame 7718 	Average100 Score: 21.34
Episode 332	Frame 7745 	Average100 Score: 21.42
Episode 333	Frame 7757 	Average100 Score: 21.38
Episode 334	Frame 7770 	Average100 Score: 21.24
Episode 335	Frame 7780 	Average100 Score: 21.15
Episode 336	Frame 7808 	Average100 Score: 21.00
Episode 337	Frame 7826 	Average100 Score: 20.85
Episode 338	Frame 7845 	Average100 Score: 20.93
Episode 339	Frame 7861 	Average100 Score: 20.97
Episode 340	Frame 7875 	Average100 Score: 20.94
Episode 341	Frame 7930 	Average100 Score: 21.35
Episode 342	Frame 7953 	Average100 Score: 21.21
Episode 343	Frame 7970 	Average100 Score: 21.19
Episode 344	Frame 7987 	Average100 Score: 21.00
Episode 345	Frame 8031 	Average100 Score: 21.33
Episode 346	Frame 8058 	Average100 Score: 21.45
Episode 347	Frame 8117 	Average100 Score: 21.87
Episode 348	Frame 8162 	Average100 Score: 22.16
Episode 349	Frame 8188 	Average100 Score: 22.28
Episode 350	Frame 8199 	Average100 Score: 22.28
Episode 351	Frame 8216 	Average100 Score: 22.16
Episode 352	Frame 8228 	Average100 Score: 22.19
Episode 353	Frame 8245 	Average100 Score: 22.26
Episode 354	Frame 8262 	Average100 Score: 22.27
Episode 355	Frame 8278 	Average100 Score: 22.26
Episode 356	Frame 8307 	Average100 Score: 22.36
Episode 357	Frame 8325 	Average100 Score: 22.42
Episode 358	Frame 8349 	Average100 Score: 22.50
Episode 359	Frame 8385 	Average100 Score: 22.53
Episode 360	Frame 8396 	Average100 Score: 22.12
Episode 361	Frame 8409 	Average100 Score: 22.09
Episode 362	Frame 8418 	Average100 Score: 22.03
Episode 363	Frame 8446 	Average100 Score: 22.09
Episode 364	Frame 8462 	Average100 Score: 22.13
Episode 365	Frame 8497 	Average100 Score: 22.05
Episode 366	Frame 8512 	Average100 Score: 22.07
Episode 367	Frame 8527 	Average100 Score: 22.06
Episode 368	Frame 8545 	Average100 Score: 22.02
Episode 369	Frame 8555 	Average100 Score: 22.02
Episode 370	Frame 8571 	Average100 Score: 22.04
Episode 371	Frame 8580 	Average100 Score: 21.76
Episode 372	Frame 8595 	Average100 Score: 21.78
Episode 373	Frame 8614 	Average100 Score: 21.83
Episode 374	Frame 8637 	Average100 Score: 21.79
Episode 375	Frame 8656 	Average100 Score: 21.84
Episode 376	Frame 8671 	Average100 Score: 21.85
Episode 377	Frame 8681 	Average100 Score: 21.73
Episode 378	Frame 8703 	Average100 Score: 21.71
Episode 379	Frame 8715 	Average100 Score: 21.58
Episode 380	Frame 8764 	Average100 Score: 21.92
Episode 381	Frame 8794 	Average100 Score: 22.06
Episode 382	Frame 8834 	Average100 Score: 22.22
Episode 383	Frame 8852 	Average100 Score: 22.21
Episode 384	Frame 8869 	Average100 Score: 22.14
Episode 385	Frame 8880 	Average100 Score: 22.14
Episode 386	Frame 8902 	Average100 Score: 22.21
Episode 387	Frame 8915 	Average100 Score: 22.17
Episode 388	Frame 8966 	Average100 Score: 22.57
Episode 389	Frame 8983 	Average100 Score: 22.37
Episode 390	Frame 9001 	Average100 Score: 22.40
Episode 391	Frame 9018 	Average100 Score: 22.30
Episode 392	Frame 9080 	Average100 Score: 22.75
Episode 393	Frame 9121 	Average100 Score: 22.94
Episode 394	Frame 9135 	Average100 Score: 22.96
Episode 395	Frame 9148 	Average100 Score: 22.98
Episode 396	Frame 9179 	Average100 Score: 23.14
Episode 397	Frame 9201 	Average100 Score: 23.15
Episode 398	Frame 9216 	Average100 Score: 23.11
Episode 399	Frame 9229 	Average100 Score: 22.99
Episode 400	Frame 9250 	Average100 Score: 22.82
